iter	Passed	Remaining
484	11441	12149
485	11464	12125
486	11488	12101
487	11514	12080
488	11541	12060
489	11566	12038
490	11593	12018
491	11618	11996
492	11644	11975
493	11666	11949
494	11689	11925
495	11714	11902
496	11738	11880
497	11761	11855
498	11788	11835
499	11818	11818
500	11842	11795
501	11866	11772
502	11886	11744
503	11907	11718
504	11932	11696
505	11958	11674
506	11981	11650
507	12006	11628
508	12031	11605
509	12055	11582
510	12077	11557
511	12099	11532
512	12120	11506
513	12141	11480
514	12164	11456
515	12192	11436
516	12218	11415
517	12245	11394
518	12272	11373
519	12307	11360
520	12329	11335
521	12352	11311
522	12375	11287
523	12399	11263
524	12422	11239
525	12443	11213
526	12467	11190
527	12491	11166
528	12515	11143
529	12540	11120
530	12561	11094
531	12582	11069
532	12601	11040
533	12622	11014
534	12644	10990
535	12669	10967
536	12692	10943
537	12724	10926
538	12751	10906
539	12774	10881
540	12800	10860
541	12828	10840
542	12856	10820
543	12882	10798
544	12906	10774
545	12932	10753
546	12958	10731
547	12987	10712
548	13013	10690
549	13041	10670
550	13066	10647
551	13095	10628
552	13120	10605
553	13145	10582
554	13170	10560
555	13196	10538
556	13220	10514
557	13246	10492
558	13303	10495
559	13328	10472
560	13360	10454
561	13384	10431
562	13409	10408
563	13437	10388
564	13467	10368
565	13491	10345
566	13518	10323
567	13546	10302
568	13572	10280
569	13601	10260
570	13628	10239
571	13653	10216
572	13679	10193
573	13705	10171
574	13732	10150
575	13752	10123
576	13776	10099
577	13801	10076
578	13831	10057
579	13852	10031
580	13872	10004
581	13895	9979
582	13917	9954
583	13936	9927
584	13955	9899
585	13975	9873
586	13997	9848
587	14021	9824
588	14048	9802
589	14073	9779
590	14089	9750
591	14111	9725
592	14138	9703
593	14157	9676
594	14178	9651
595	14200	9625
596	14220	9599
597	14243	9574
598	14269	9553
599	14295	9530
600	14325	9510
601	14349	9486
602	14370	9461
603	14391	9435
604	14408	9407
605	14425	9379
606	14445	9352
607	14466	9327
608	14487	9301
609	14509	9276
610	14531	9251
611	14554	9227
612	14573	9200
613	14592	9173
614	14610	9146
615	14628	9119
616	14648	9092
617	14667	9066
618	14686	9039
619	14707	9014
620	14728	8989
621	14750	8963
622	14773	8940
623	14797	8916
624	14818	8891
625	14837	8864
626	14855	8837
627	14873	8810
628	14891	8783
629	14909	8756
630	14927	8729
631	14947	8703
632	14968	8678
633	14987	8652
634	15009	8627
635	15029	8601
636	15048	8575
637	15066	8548
638	15084	8522
639	15102	8495
640	15120	8468
641	15137	8441
642	15157	8415
643	15178	8390
644	15196	8364
645	15216	8338
646	15235	8312
647	15256	8287
648	15278	8263
649	15301	8239
650	15324	8215
651	15348	8192
652	15369	8167
653	15393	8144
654	15424	8124
655	15451	8102
656	15475	8079
657	15497	8054
658	15515	8028
659	15534	8002
660	15554	7977
661	15575	7952
662	15594	7926
663	15613	7900
664	15633	7875
665	15652	7849
666	15672	7824
667	15691	7798
668	15711	7773
669	15730	7748
670	15749	7722
671	15767	7696
672	15785	7669
673	15803	7644
674	15821	7617
675	15841	7592
676	15861	7567
677	15880	7542
678	15901	7517
679	15922	7492
680	15940	7467
681	15959	7441
682	15979	7416
683	15997	7390
684	16016	7365
685	16036	7340
686	16048	7311
687	16066	7286
688	16088	7262
689	16109	7237
690	16131	7213
691	16151	7189
692	16171	7163
693	16190	7138
694	16208	7113
695	16226	7087
696	16244	7061
697	16262	7036
698	16281	7010
699	16301	6986
700	16321	6961
701	16341	6936
702	16363	6913
703	16381	6887
704	16399	6862
705	16417	6836
706	16434	6811
707	16453	6786
708	16473	6761
709	16494	6737
710	16515	6713
711	16538	6689
712	16558	6665
713	16578	6640
714	16598	6616
715	16618	6591
716	16637	6566
717	16656	6542
718	16676	6517
719	16695	6492
720	16715	6468
721	16737	6444
722	16759	6421
723	16780	6397
724	16801	6372
725	16822	6349
726	16842	6324
727	16860	6299
728	16879	6274
729	16898	6250
730	16917	6225
731	16937	6201
732	16960	6178
733	16983	6154
734	17005	6131
735	17026	6107
736	17046	6083
737	17064	6058
738	17082	6033
739	17103	6009
740	17122	5984
741	17140	5959
742	17160	5935
743	17182	5912
744	17204	5888
745	17226	5865
746	17246	5841
747	17266	5817
748	17285	5792
749	17304	5768
750	17323	5743
751	17342	5719
752	17359	5694
753	17381	5670
754	17403	5647
755	17424	5623
756	17446	5600
757	17468	5576
758	17489	5553
759	17508	5528
760	17527	5504
761	17546	5480
762	17566	5456
763	17584	5431
764	17605	5408
765	17630	5385
766	17652	5362
767	17673	5338
768	17693	5314
769	17713	5290
770	17732	5266
771	17751	5242
772	17770	5218
773	17789	5194
774	17808	5170
775	17828	5146
776	17849	5122
777	17870	5099
778	17891	5075
779	17912	5052
780	17933	5028
781	17951	5004
782	17969	4979
783	17988	4956
784	18007	4931
785	18026	4907
786	18049	4885
787	18070	4861
788	18094	4838
789	18119	4816
790	18142	4793
791	18165	4770
792	18187	4747
793	18208	4724
794	18231	4701
795	18251	4677
796	18273	4654
797	18294	4630
798	18312	4606
799	18332	4583
800	18356	4560
801	18379	4537
802	18401	4514
803	18422	4491
804	18443	4467
805	18466	4444
806	18491	4422
807	18516	4400
808	18538	4376
809	18561	4353
810	18586	4331
811	18607	4308
812	18627	4284
813	18646	4260
814	18664	4236
815	18684	4213
816	18705	4189
817	18724	4166
818	18746	4143
819	18767	4119
820	18788	4096
821	18807	4072
822	18827	4049
823	18846	4025
824	18868	4002
825	18887	3978
826	18907	3955
827	18927	3931
828	18947	3908
829	18968	3885
830	18990	3862
831	19012	3839
832	19033	3815
833	19053	3792
834	19073	3769
835	19092	3745
836	19112	3722
837	19134	3698
838	19154	3675
839	19176	3652
840	19197	3629
841	19218	3606
842	19239	3583
843	19259	3559
844	19278	3536
845	19297	3512
846	19317	3489
847	19336	3465
848	19355	3442
849	19378	3419
850	19399	3396
851	19420	3373
852	19442	3350
853	19465	3327
854	19491	3305
855	19514	3282
856	19538	3260
857	19559	3237
858	19586	3215
859	19613	3192
860	19637	3170
861	19664	3148
862	19689	3125
863	19707	3102
864	19727	3078
865	19747	3055
866	19766	3032
867	19786	3009
868	19831	2989
869	19862	2967
870	19892	2946
871	20033	2940
872	20151	2931
873	20191	2910
874	20226	2889
875	20264	2868
876	20299	2846
877	20329	2824
878	20355	2802
879	20393	2780
880	20535	2773
881	20797	2782
882	20896	2768
883	20992	2754
884	21034	2733
885	21062	2710
886	21097	2687
887	21125	2664
888	21153	2641
889	21187	2618
890	21216	2595
891	21249	2572
892	21284	2550
893	21342	2530
894	21411	2511
895	21484	2493
896	21571	2477
897	21640	2458
898	21701	2438
899	21752	2416
900	21801	2395
901	21864	2375
902	21901	2352
903	21947	2330
904	21989	2308
905	22035	2286
906	22083	2264
907	22119	2241
908	22152	2217
909	22177	2193
910	22198	2168
911	22222	2144
912	22245	2119
913	22270	2095
914	22292	2070
915	22312	2046
916	22331	2021
917	22351	1996
918	22372	1971
919	22395	1947
920	22418	1922
921	22443	1898
922	22468	1874
923	22492	1849
924	22517	1825
925	22541	1801
926	22564	1776
927	22589	1752
928	22615	1728
929	22643	1704
930	22668	1680
931	22693	1655
932	22717	1631
933	22740	1606
934	22766	1582
935	22789	1558
936	22816	1534
937	22842	1509
938	22866	1485
939	22894	1461
940	22919	1437
941	22944	1412
942	22975	1388
943	23003	1364
944	23035	1340
945	23062	1316
946	23087	1292
947	23113	1267
948	23135	1243
949	23160	1218
950	23182	1194
951	23205	1170
952	23240	1146
953	23262	1121
954	23284	1097
955	23306	1072
956	23328	1048
957	23348	1023
958	23370	999
959	23391	974
960	23414	950
961	23437	925
962	23459	901
963	23481	876
964	23499	852
965	23518	827
966	23540	803
967	23565	779
968	23591	754
969	23631	730
970	23660	706
971	23686	682
972	23714	658
973	23741	633
974	23764	609
975	23787	584
976	23810	560
977	23831	536
978	23854	511
979	23878	487
980	23904	462
981	23929	438
982	23956	414
983	23978	389
984	23998	365
985	24019	341
986	24041	316
987	24064	292
988	24088	267
989	24113	243
990	24143	219
991	24173	194
992	24196	170
993	24220	146
994	24244	121
995	24269	97
996	24291	73
997	24313	48
998	24338	24
999	24361	0
